"Woningtype";"Bouwjaarklasse";"Perioden";"Regio's";"Beginstand woningvoorraad (aantal)";"Gemiddelde oppervlakte (m2)"
"Totaal";"1995 tot 2005";"2015";"Rotterdam";25145;101
"Totaal";"1995 tot 2005";"2016";"Rotterdam";25135;101
"Totaal";"1995 tot 2005";"2017";"Rotterdam";24943;102
"Totaal";"1995 tot 2005";"2018";"Rotterdam";25031;101
"Totaal";"1995 tot 2005";"2019";"Rotterdam";25028;101
"Totaal";"1995 tot 2005";"2020";"Rotterdam";25026;101
"Totaal";"1995 tot 2005";"2021";"Rotterdam";25063;101
"Totaal";"1995 tot 2005";"2022";"Rotterdam";25097;101
"Totaal";"1995 tot 2005";"2023";"Rotterdam";25121;101
"Totaal";"1995 tot 2005";"2024";"Rotterdam";25125;101
"Totaal";"1995 tot 2005";"2025";"Rotterdam";25227;101
"Totaal";"1995 tot 2005";"2026";"Rotterdam";25406;101
"Totaal";"1995 tot 2005";"2012";"Utrecht (gemeente)";16164;109
"Totaal";"1995 tot 2005";"2013";"Utrecht (gemeente)";16197;109
"Totaal";"1995 tot 2005";"2014";"Utrecht (gemeente)";16207;110
"Totaal";"1995 tot 2005";"2015";"Utrecht (gemeente)";16205;110
"Totaal";"1995 tot 2005";"2016";"Utrecht (gemeente)";16453;109
"Totaal";"1995 tot 2005";"2017";"Utrecht (gemeente)";16461;109
"Totaal";"1995 tot 2005";"2018";"Utrecht (gemeente)";16245;110
"Totaal";"1995 tot 2005";"2019";"Utrecht (gemeente)";16247;110
"Totaal";"1995 tot 2005";"2020";"Utrecht (gemeente)";16133;110
"Totaal";"1995 tot 2005";"2021";"Utrecht (gemeente)";16167;110
"Totaal";"1995 tot 2005";"2022";"Utrecht (gemeente)";16169;110
"Totaal";"1995 tot 2005";"2023";"Utrecht (gemeente)";16163;110
"Totaal";"1995 tot 2005";"2024";"Utrecht (gemeente)";16125;110
"Totaal";"1995 tot 2005";"2025";"Utrecht (gemeente)";16126;110
"Totaal";"1995 tot 2005";"2026";"Utrecht (gemeente)";16123;110
"Totaal";"2005 tot 2015";"2012";"Nederland";489660;132
"Totaal";"2005 tot 2015";"2013";"Nederland";556368;130
"Totaal";"2005 tot 2015";"2014";"Nederland";617127;127
"Totaal";"2005 tot 2015";"2015";"Nederland";663605;126
"Totaal";"2005 tot 2015";"2016";"Nederland";673016;126
"Totaal";"2005 tot 2015";"2017";"Nederland";673373;126
"Totaal";"2005 tot 2015";"2018";"Nederland";673921;126
"Totaal";"2005 tot 2015";"2019";"Nederland";674141;126
"Totaal";"2005 tot 2015";"2020";"Nederland";673220;126
"Totaal";"2005 tot 2015";"2021";"Nederland";673012;126
"Totaal";"2005 tot 2015";"2022";"Nederland";673394;126
"Totaal";"2005 tot 2015";"2023";"Nederland";672365;126
"Totaal";"2005 tot 2015";"2024";"Nederland";672229;126
"Totaal";"2005 tot 2015";"2025";"Nederland";672689;126
"Totaal";"2005 tot 2015";"2026";"Nederland";672557;126
"Totaal";"2005 tot 2015";"2012";"Amsterdam";30840;97
"Totaal";"2005 tot 2015";"2013";"Amsterdam";33811;94
"Totaal";"2005 tot 2015";"2014";"Amsterdam";36305;92
