"Woningtype";"Bouwjaarklasse";"Perioden";"Regio's";"Beginstand woningvoorraad (aantal)";"Gemiddelde oppervlakte (m2)"
"Totaal";"1995 tot 2005";"2021";"Zuidoost-Noord-Brabant (CR)";36903;150
"Totaal";"1995 tot 2005";"2021";"Noord-Limburg (CR)";13089;150
"Totaal";"1995 tot 2005";"2021";"Midden-Limburg (CR)";10813;151
"Totaal";"1995 tot 2005";"2021";"Zuid-Limburg (CR)";22470;138
"Totaal";"1995 tot 2005";"2021";"Flevoland (CR)";44766;132
"Totaal";"1995 tot 2005";"2021";"Niet in te delen (CR)";0;
"Totaal";"1995 tot 2005";"2021";"Amsterdam";32164;97
"Totaal";"1995 tot 2005";"2021";"'s-Gravenhage (gemeente)";30440;113
"Totaal";"1995 tot 2005";"2021";"Rotterdam";25063;101
"Totaal";"1995 tot 2005";"2021";"Utrecht (gemeente)";16167;110
"Totaal";"2005 tot 2015";"2021";"Nederland";673012;126
"Totaal";"2005 tot 2015";"2021";"Noord-Nederland (LD)";58872;141
"Totaal";"2005 tot 2015";"2021";"Oost-Nederland (LD)";151859;132
"Totaal";"2005 tot 2015";"2021";"West-Nederland (LD)";325298;117
"Totaal";"2005 tot 2015";"2021";"Zuid-Nederland (LD)";136983;131
"Totaal";"2005 tot 2015";"2021";"Niet in te delen (LD)";0;
"Totaal";"2005 tot 2015";"2021";"Groningen (PV)";19904;132
"Totaal";"2005 tot 2015";"2021";"Fryslân (PV)";21562;147
"Totaal";"2005 tot 2015";"2021";"Drenthe (PV)";17406;144
"Totaal";"2005 tot 2015";"2021";"Overijssel (PV)";46031;141
"Totaal";"2005 tot 2015";"2021";"Flevoland (PV)";19544;131
"Totaal";"2005 tot 2015";"2021";"Gelderland (PV)";86284;128
"Totaal";"2005 tot 2015";"2021";"Utrecht (PV)";55926;121
"Totaal";"2005 tot 2015";"2021";"Noord-Holland (PV)";112484;113
"Totaal";"2005 tot 2015";"2021";"Zuid-Holland (PV)";143476;118
"Totaal";"2005 tot 2015";"2021";"Zeeland (PV)";13412;136
"Totaal";"2005 tot 2015";"2021";"Noord-Brabant (PV)";104250;129
"Totaal";"2005 tot 2015";"2021";"Limburg (PV)";32733;137
"Totaal";"2005 tot 2015";"2021";"Niet in te delen (PV)";0;
"Totaal";"2005 tot 2015";"2021";"Oost-Groningen (CR)";3231;154
"Totaal";"2005 tot 2015";"2021";"Delfzijl en omgeving (CR)";1527;130
"Totaal";"2005 tot 2015";"2021";"Overig Groningen (CR)";15146;128
"Totaal";"2005 tot 2015";"2021";"Noord-Friesland (CR)";9854;144
"Totaal";"2005 tot 2015";"2021";"Zuidwest-Friesland (CR)";4919;156
"Totaal";"2005 tot 2015";"2021";"Zuidoost-Friesland (CR)";6789;143
"Totaal";"2005 tot 2015";"2021";"Noord-Drenthe (CR)";7544;147
"Totaal";"2005 tot 2015";"2021";"Zuidoost-Drenthe (CR)";4811;144
"Totaal";"2005 tot 2015";"2021";"Zuidwest-Drenthe (CR)";5051;140
"Totaal";"2005 tot 2015";"2021";"Noord-Overijssel (CR)";16954;139
"Totaal";"2005 tot 2015";"2021";"Zuidwest-Overijssel (CR)";5558;140
"Totaal";"2005 tot 2015";"2021";"Twente (CR)";23519;142
"Totaal";"2005 tot 2015";"2021";"Veluwe (CR)";30463;129
