"Populatie";"Kenmerken van huishoudens";"Perioden";"Regio's";"Particuliere huishoudens (x 1 000)";"Particuliere huishoudens relatief (%)";"Inkomen/Gemiddeld gestandaardiseerd inkomen (1 000 euro)";"Inkomen/Mediaan gestandaardiseerd inkomen (1 000 euro)";"Inkomen/Gemiddeld besteedbaar inkomen (1 000 euro)";"Inkomen/Mediaan besteedbaar inkomen (1 000 euro)"
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"'s-Gravenhage (gemeente)";259,3;100;30,8;26,1;43;32,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Groningen (gemeente)";129,3;100;25,6;22,8;34;26,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Gulpen-Wittem";6,5;100;32,8;29,2;47,5;39,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Haaksbergen";10,2;100;33;29,8;49,7;42,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Haarlem";77,4;100;34,2;29,9;48,3;38,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Haarlemmermeer";65,2;100;36,3;32,5;54,7;46,7
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Halderberge";13;100;32,9;29,7;48,7;41,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Hardenberg";24,3;100;31,3;28,7;47,8;42,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Harderwijk";20,5;100;32,7;29,5;48,5;41,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Hardinxveld-Giessendam";7,1;100;34;29,9;52,8;44,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Harlingen";7,4;100;28,9;25,6;40,5;33,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Hattem";5,1;100;35,7;30,3;53,6;44,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Heemskerk";17,3;100;32,8;30,4;47,9;41,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Heemstede";11,9;100;45;36,1;66,6;48,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Heerde";7,6;100;33,9;30,1;51,2;43,9
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Heerenveen";22,8;100;31,3;27,8;45,4;37,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Heerhugowaard";23,7;100;32,5;30,4;48,5;43,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Heerlen";44,9;100;26,8;24,1;36,2;29,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Heeze-Leende";6,8;100;38,5;33,8;57,6;48,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Heiloo";10,7;100;37,6;33,3;55,1;45,7
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Den Helder";27;100;29,1;27;40,3;34,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Hellendoorn";14,7;100;32,1;29,2;48,6;42,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Hellevoetsluis";18;100;33,3;30,9;48,2;42,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Helmond";40,9;100;30,8;27,2;45;37
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Hendrik-Ido-Ambacht";12,2;100;36,5;32,4;56,5;48,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Hengelo (O.)";37,8;100;30;27,4;42,7;35,7
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"'s-Hertogenbosch";73;100;33,4;29,5;47,5;38,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Heumen";7,1;100;35,9;32,5;53,3;45,7
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Heusden";19;100;34,1;30,5;51,3;43,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Hillegom";9,9;100;33,7;30,6;49,1;42,5
